question,option1,reason1,option2,reason2,option3,reason3,option4,reason4
Hva er viktig å forstå når man analyserer argumentasjonen i faglige sammenhenger?, Definisjonen av fagspesifikke uttrykk ," For å kunne vurdere argumentasjon i faglige sammenhenger riktig, må man forstå hva de fagspesifikke uttrykkene, som 'fedme', betyr innen den konteksten. ", Emosjonell påvirkning av språket ," Emosjonell påvirkning kan være en del av argumentasjon, men det er ikke det primære fokuset for å forstå fagspesifikke uttrykk.", Forenklingen av komplekse ideer ," Selv om forenkling kan være en del av kommunikasjon, handler analysen av fagargumentasjon mer om forståelse av korrekt bruk av faguttrykk.", Historiske anvendelser av begrepet ," Historisk bruk av et begrep kan være interessant, men det er ikke relevant for å analysere nåtidig faglig argumentasjon."
Hvorfor kan det være fordelaktig å definere uttrykk i en debatt?, Det gjør det lettere å kommunisere egne synspunkter og argumenter ," Å definere uttrykk kan klargjøre hva som menes, noe som forbedrer forståelsen i kommunikasjonen.", Det gjør det umulig å bli misforstått , Selv med definisjoner kan ulike tolkninger og misforståelser fortsatt oppstå., Det viser at man har rett i sin diskusjon ," Å definere uttrykk betyr ikke nødvendigvis at ens synspunkter er korrekte, bare at de er tydeligere uttrykt.", Det forkorter alltid diskusjonen , Å definere uttrykk kan også føre til lengre diskusjoner hvis det er uenighet om definisjonene.
Hvilket av følgende uttrykk brukes for å beskrive dimensjoner ved vurdering av argumenter i argumentasjonsanalyse?, Riktighet og relevans , Riktighet og relevans er de to uttrykkene som beskriver dimensjoner for vurdering av argumenter i argumentasjonsanalyse i teksten., Logikk og empati ," Selv om logikk er viktig i vurdering av argumenter, er empati ikke nevnt som en dimensjon i teksten.", Troverdighet og struktur ," Mens struktur er en del av argumentasjonsanalyse, nevner teksten ikke troverdighet som en av de dimensjonene som brukes i vurderingen.", Fornuft og bevissthet , Fornuft og bevissthet er ikke uttrykkene som teksten bruker for å beskrive dimensjonene ved vurdering av argumenter.
Hva er en viktig faktor når man vurderer sannsynligheten for at et argument er riktig?, Bakgrunnskunnskap og evne til å spore opp pålitelig informasjon , Egen bakgrunnskunnskap og evne til å vurdere informasjonens pålitelighet er avgjørende for å vurdere hvor sannsynlig et argument er riktig, Hvor godt argumentet samsvarer med dine personlige meninger ," Personlige meninger kan påvirke vurderingen, men de utgjør ikke en objektiv vurderingsfaktor for sannsynlighet", Mengden påstander i argumentet ," Det er ikke antallet påstander, men innholdet og evidensen som støtter dem som er viktig for å vurdere sannsynligheten", Følelsesmessig reaksjon på argumentet , Følelsesmessige reaksjoner kan forvride vurderingen og er ikke en pålitelig indikator på sannsynlighet eller riktighet
Hva er det første steget i å vurdere et argument ifølge retningslinjene for argumentasjonsvurdering?, Gjør en analyse som avdekker strukturen i argumentasjonen , Det første steget er å identifisere strukturen i argumentasjonen ved hjelp av argumentasjonsanalyse., Vurder hvor sannsynlig det er at argumentet er riktig ," Dette er det andre steget i prosessen, ikke det første.", Vurder relevansen av argumentet for påstanden det retter seg mot , Dette steget kommer først etter analysen og vurderingen av sannsynligheten., Vurder i hvilken grad argumentet støtter eller svekker påstanden ," Dette er det siste steget, som følger etter vurderingen av sannsynlighet og relevans."
Hva kjennetegner et deduktivt argument?, Standpunktet er en nødvendig følge av argumentet hvis argumentet er riktig ," I et deduktivt argument er standpunktet nødvendigvis sant hvis premissene er sanne, noe som gjør argumentet maksimalt relevant.", Standpunktet kan være sant selv om argumentet er uriktig ," I et deduktivt argument må standpunktet være sant hvis argumentet er riktig, så standpunktet kan ikke være sant hvis premissene er uriktige.", Det avhenger av argumentets retoriske appell ," Deduktive argumenter er basert på logiske forhold, ikke retoriske appell eller overbevisende teknikker.", Premissene trenger ikke å være sanne for at standpunktet skal være sant ," For deduktive argumenter, hvis premissene er sanne, må konklusjonen også være sann for at argumentet skal holde i sin helhet."
Hva kjennetegner et deduktivt argument?, Standpunktet følger nødvendigvis fra premissene ," I et deduktivt argument er det slik at hvis premissene er sanne, må konklusjonen også være sann.", Standpunktet følger sannsynligvis fra premissene ," Dette beskriver et induktivt argument, hvor premissene gir sannsynlighet, men ikke nødvendighet for konklusjonen.", Standpunktet kan være riktig eller feil uavhengig av premissene ," Dette beskriver ikke et deduktivt argument, da deduksjon er avhengig av logisk form der konklusjonen må følge av premissene.", Standpunktet er basert på empiri og observasjoner , Deduktive argumenter er basert på logisk form og ikke nødvendigvis på empiriske data.
Hvilken av følgende beskrivelser stemmer overens med definisjonen av en deduktiv følge?, En deduktiv følge er når det er umulig for konklusjonen å være feil hvis premissene er riktige ," Dette samsvarer med definisjonen av en deduktiv følge, hvor konklusjonen nødvendigvis følger fra premissene hvis de er riktige.", En deduktiv følge er når konklusjonen kan være sann selv om premissene er falske ," Dette beskriver ikke en deduktiv følge, siden en deduktiv følge krever at konklusjonen logisk følger og er sanne hvis premissene er sanne.", En deduktiv følge krever at konklusjonen sannsynligvis er sann gitt premissene ," Dette beskriver induktiv snarere enn deduktiv følge, som omhandler sannsynlighet og ikke nødvendighet.", En deduktiv følge er når konklusjonen er mer relevant enn premissene ," Relevans er ikke den primære bekymringen i deduktiv logikk, men heller om konklusjonen logisk følger fra premissene med nødvendighet."
Hva innebærer metoden for å vurdere deduksjon som beskrevet i boken?," Dersom antakelsene om at standpunktet er feil og argumentet er riktig er konsistente, er standpunktet ikke en deduktiv følge av argumentet ", Konsistens mellom antakelser om feil standpunkt og riktig argument innebærer at argumentet ikke støtter standpunktet deduktivt, Argumentet er alltid en deduktiv følge av standpunktet dersom argumentet er riktig , Argumentets riktighet alene garanterer ikke at det er en deduktiv følge av standpunktet; konsistens må også vurderes, Standpunktet følger deduktivt fra argumentet dersom de opprinnelige antakelsene er konsistente ," Hvis de opprinnelige antakelsene er konsistente, betyr det at standpunktet ikke er en deduktiv følge"," Hvis antakelsene er inkonsistente, kan det konkluderes med at både standpunktet og argumentet må være feil "," Inkonsistens innebærer at standpunktet kan være en deduktiv følge, ikke nødvendigvis at begge deler er feil"
Hva er hovedfordelen med å presentere argumentasjon i deduktiv form?, Det gjør argumentstrukturen klar og lettere å vurdere for publikum ," Deduktiv presentasjon fremhever strukturen i argumentasjonen, noe som gjør det enklere for publikum å analysere relevansen og konsentrere seg om innholdet.", Det eliminerer behovet for å vurdere relevansen til argumentene ," Selv om deduktiv form hjelper i å vurdere relevans, kan subjektive oppfatninger fortsatt påvirke vurderingen.", Det krever ikke formulering av implisitte påstander , Deduktiv form krever eksplisitt formulering av alle implisitte påstander for å forstå resonnementets struktur., Det gir alltid maksimalt relevante argumenter uansett oppfatninger ," Vurdering av relevans kan fortsatt påvirkes av personlige oppfatninger, selv om deduktiv argumentasjon gir en klar struktur."
